,date,temperature_2m,precipitation,wind_speed_10m
179,2008-10-24 11:00:00+00:00,18.824501,0.0,6.638072
180,2008-10-24 12:00:00+00:00,19.674501,0.0,6.9899354
181,2008-10-24 13:00:00+00:00,20.074501,0.2,7.42159
182,2008-10-24 14:00:00+00:00,19.924501,0.2,7.172949
183,2008-10-24 15:00:00+00:00,19.4745,0.2,4.8965297
184,2008-10-24 16:00:00+00:00,18.424501,0.5,5.904439
185,2008-10-24 17:00:00+00:00,16.924501,0.6,4.6800003
186,2008-10-24 18:00:00+00:00,15.874499,0.5,4.6800003
187,2008-10-24 19:00:00+00:00,15.0745,0.3,4.510787
188,2008-10-24 20:00:00+00:00,14.0745,0.1,5.634891
189,2008-10-24 21:00:00+00:00,13.4745,0.0,5.8603754
190,2008-10-24 22:00:00+00:00,13.0745,0.0,5.692099
191,2008-10-24 23:00:00+00:00,12.7745,0.0,5.3517847
192,2008-10-25 00:00:00+00:00,12.6744995,0.0,4.198285
193,2008-10-25 01:00:00+00:00,12.374499,0.0,2.2768397
194,2008-10-25 02:00:00+00:00,12.624499,0.0,5.3517847
195,2008-10-25 03:00:00+00:00,12.5745,0.0,4.8965297
196,2008-10-25 04:00:00+00:00,12.624499,0.0,5.00128
197,2008-10-25 05:00:00+00:00,12.624499,0.0,5.8048253
198,2008-10-25 06:00:00+00:00,12.7245,0.0,6.792466
199,2008-10-25 07:00:00+00:00,13.2245,0.0,6.989936
200,2008-10-25 08:00:00+00:00,14.2745,0.0,7.2
201,2008-10-25 09:00:00+00:00,16.0245,0.0,6.8777895
202,2008-10-25 10:00:00+00:00,17.674501,0.0,9.1641035
203,2008-10-25 11:00:00+00:00,19.2745,0.0,9.585739
204,2008-10-25 12:00:00+00:00,20.5245,0.0,11.923557
205,2008-10-25 13:00:00+00:00,20.8745,0.0,12.88981
206,2008-10-25 14:00:00+00:00,20.5245,0.0,12.979984
207,2008-10-25 15:00:00+00:00,19.824501,0.0,8.891343
208,2008-10-25 16:00:00+00:00,18.674501,0.0,8.435069
209,2008-10-25 17:00:00+00:00,17.1245,0.0,8.913181
210,2008-10-25 18:00:00+00:00,15.6744995,0.0,7.8954163
211,2008-10-25 19:00:00+00:00,14.624499,0.0,6.1094027
212,2008-10-25 20:00:00+00:00,13.4745,0.0,6.4096174
213,2008-10-25 21:00:00+00:00,12.6744995,0.0,7.2
214,2008-10-25 22:00:00+00:00,12.2745,0.0,6.193674
215,2008-10-25 23:00:00+00:00,12.124499,0.0,5.8603754
216,2008-10-26 00:00:00+00:00,11.8245,0.0,5.0911684
217,2008-10-26 01:00:00+00:00,11.3245,0.0,5.0142193
218,2008-10-26 02:00:00+00:00,10.9745,0.0,5.8603754
219,2008-10-26 03:00:00+00:00,10.7245,0.0,5.815978
220,2008-10-26 04:00:00+00:00,10.4745,0.0,5.991594
221,2008-10-26 05:00:00+00:00,10.3245,0.0,4.6102495
222,2008-10-26 06:00:00+00:00,10.4745,0.0,4.3349743
223,2008-10-26 07:00:00+00:00,11.624499,0.0,4.8433046
224,2008-10-26 08:00:00+00:00,12.5245,0.0,4.8433046
225,2008-10-26 09:00:00+00:00,14.5745,0.0,4.1046314
226,2008-10-26 10:00:00+00:00,16.7245,0.0,3.319036
227,2008-10-26 11:00:00+00:00,18.5245,0.0,2.7416782
228,2008-10-26 12:00:00+00:00,19.6245,0.0,2.7416782
229,2008-10-26 13:00:00+00:00,20.1245,0.0,2.5959969
230,2008-10-26 14:00:00+00:00,20.2245,0.0,2.9024127
